id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Dulce;Becker;Emmanuelle.Kovacek@hotmail.com;gee;2023-10-22T14:22:11;31406;2401
2;Bradley;Trantow;Hailee.Bartoletti31@hotmail.com;convince despite;2023-10-23T01:58:04;11681;12461
3;Mabel;Ruecker-Kuhn;Alice_Turner@hotmail.com;fridge;2023-10-23T09:22:27;30632;2012
4;Green;Hand;Darrick.Crona@yahoo.com;far;2023-10-23T11:59:18;3370;14576
5;Daphney;Nienow;Shaniya11@gmail.com;whose rapidly via;2023-10-22T17:13:56;1276;2866
6;Garret;Romaguera;Zelma30@gmail.com;upside-down;2023-10-22T15:56:33;7701;1829
7;Arlo;Collins;Taurean_Connelly30@hotmail.com;elaborate before worse;2023-10-23T06:37:35;646;14253
8;Heather;McCullough;Mozelle91@gmail.com;worth;2023-10-22T16:30:38;862;597
9;Trystan;King-Schulist;Deion.Mills@hotmail.com;neighboring since crooked;2023-10-22T13:45:39;12068;7287
10;Maiya;Turcotte;Sonia_Waters62@gmail.com;minus teepee;2023-10-22T20:13:37;31810;23488
